product_id,units_sold,gross_revenue,discount_amount,net_revenue,average_discount,product_name,category,brand
P00001,429,471900.0,37510.0,434390.0,8.153310104529616,KnowledgeHouse Ultra Fiction,Books,KnowledgeHouse
P00002,515,942450.0,78964.5,863485.5,8.277439024390244,KnowledgeHouse Modern Self Help,Books,KnowledgeHouse
P00003,438,2960880.0,248768.0,2712112.0,8.152542372881356,FitCore Everyday Sportswear,Sports & Fitness,FitCore
P00004,412,2855160.0,227650.5,2627509.5,7.989130434782608,TrendRoot Ultra Trousers,Fashion,TrendRoot
P00005,456,337440.0,26603.0,310837.0,8.15359477124183,ReadMore Ultra Business,Books,ReadMore
P00006,470,21328600.0,1665446.0,19663154.0,7.918032786885246,NovaTech Essential Smartwatches,Electronics,NovaTech
P00007,446,356800.0,28880.0,327920.0,8.133116883116884,GlowPure Pro Personal Care,Beauty & Personal Care,GlowPure
P00008,540,918000.0,73270.0,844730.0,8.270348837209303,KitchenPro Classic Home Decor,Home & Kitchen,KitchenPro
P00009,451,22604120.0,1726634.0,20877486.0,7.973421926910299,PixelPro Classic Accessories,Electronics,PixelPro
P00010,440,2547600.0,209308.5,2338291.5,8.356890459363958,StreetLine Smart Jeans,Fashion,StreetLine
P00011,479,33678490.0,2735059.0,30943431.0,8.123028391167193,ZenByte Advanced Tablets,Electronics,ZenByte
P00012,417,9436710.0,793181.5,8643528.5,8.805147058823529,ComfortCraft Smart Lighting,Home & Kitchen,ComfortCraft
P00013,490,1759100.0,146113.0,1612987.0,8.154574132492113,UrbanThread Essential Jackets,Fashion,UrbanThread
P00014,483,6380430.0,534344.5,5846085.5,8.05111821086262,ActivePro Elite Yoga,Sports & Fitness,ActivePro
P00015,463,8269180.0,713507.0,7555673.0,8.712871287128714,KitchenPro Everyday Furniture,Home & Kitchen,KitchenPro
P00016,479,2289620.0,184269.0,2105351.0,8.142857142857142,RunX Smart Outdoor Sports,Sports & Fitness,RunX
P00017,401,22307630.0,1752345.0,20555285.0,8.314814814814815,ZenByte Advanced Laptops,Electronics,ZenByte
P00018,446,107040.0,8640.0,98400.0,7.65993265993266,AuraBeauty Everyday Personal Care,Beauty & Personal Care,AuraBeauty
P00019,481,4747470.0,390852.0,4356618.0,8.107255520504731,RunX Classic Yoga,Sports & Fitness,RunX
P00020,477,395910.0,33407.5,362502.5,8.591772151898734,ReadMore Everyday Academic,Books,ReadMore
P00021,454,3050880.0,256368.0,2794512.0,8.109965635738831,ComfortCraft Modern Lighting,Home & Kitchen,ComfortCraft
P00022,493,8016180.0,669099.0,7347081.0,7.771084337349397,FlexFit Essential Running,Sports & Fitness,FlexFit
P00023,437,8211230.0,637920.5,7573309.5,7.916666666666667,HomeNest Smart Furniture,Home & Kitchen,HomeNest
P00024,490,8393700.0,706612.5,7687087.5,8.160377358490566,Auralink Advanced Accessories,Electronics,Auralink
P00025,439,3134460.0,240618.0,2893842.0,7.785714285714286,ComfortCraft Pro Home Decor,Home & Kitchen,ComfortCraft
P00026,441,2557800.0,195750.0,2362050.0,7.876712328767123,StreetLine Pro Footwear,Fashion,StreetLine
P00027,452,302840.0,25359.5,277480.5,8.543046357615895,DermaCare Smart Skincare,Beauty & Personal Care,DermaCare
P00028,428,933040.0,85783.0,847257.0,9.16382252559727,FitCore Classic Gym Equipment,Sports & Fitness,FitCore
P00029,432,4026240.0,324336.0,3701904.0,8.214285714285714,ComfortCraft Smart Cookware,Home & Kitchen,ComfortCraft
P00030,468,514800.0,41800.0,473000.0,8.305921052631579,LearnPress Elite Self Help,Books,LearnPress
P00031,425,19864500.0,1563453.0,18301047.0,8.206521739130435,ZenByte Pro Smartphones,Electronics,ZenByte
P00032,423,3485520.0,291696.0,3193824.0,8.57394366197183,ZenByte Classic Cameras,Electronics,ZenByte
P00033,474,33459660.0,2633007.0,30826653.0,7.810457516339869,PixelPro Smart Laptops,Electronics,PixelPro
P00034,465,2166900.0,172187.0,1994713.0,8.24915824915825,GlowPure Elite Haircare,Beauty & Personal Care,GlowPure
P00035,459,24588630.0,1850843.5,22737786.5,7.877813504823151,PixelPro Advanced Smartphones,Electronics,PixelPro
P00036,455,23418850.0,1917257.5,21501592.5,8.186274509803921,TechSphere Premium Laptops,Electronics,TechSphere
P00037,418,2202860.0,184186.5,2018673.5,8.02491103202847,ComfortCraft Elite Storage,Home & Kitchen,ComfortCraft
P00038,446,945520.0,77168.0,868352.0,8.274193548387096,FitCore Essential Sportswear,Sports & Fitness,FitCore
P00039,403,1160640.0,97488.0,1063152.0,8.477443609022556,FitCore Everyday Gym Equipment,Sports & Fitness,FitCore
P00040,470,1142100.0,91854.0,1050246.0,8.066202090592334,InsightBooks Classic Non-Fiction,Books,InsightBooks
P00041,407,30272660.0,2331813.0,27940847.0,8.014705882352942,ZenByte Modern Smartwatches,Electronics,ZenByte
P00042,442,525980.0,45279.5,480700.5,8.664259927797834,ReadMore Smart Academic,Books,ReadMore
P00043,454,1770600.0,150150.0,1620450.0,8.624161073825503,GlowPure Premium Makeup,Beauty & Personal Care,GlowPure
P00044,410,14374600.0,1090366.0,13284234.0,7.8125,PixelPro Everyday Tablets,Electronics,PixelPro
P00045,409,1591010.0,128759.0,1462251.0,8.156028368794326,StreetLine Advanced Jeans,Fashion,StreetLine
P00046,440,585200.0,47946.5,537253.5,8.254237288135593,KnowledgeHouse Everyday Self Help,Books,KnowledgeHouse
P00047,454,2896520.0,229361.0,2667159.0,8.03754266211604,UrbanThread Classic Jeans,Fashion,UrbanThread
P00048,418,2478740.0,202213.0,2276527.0,8.167259786476869,StreetLine Smart Footwear,Fashion,StreetLine
P00049,412,3819240.0,305910.0,3513330.0,8.116438356164384,HomeNest Pro Cookware,Home & Kitchen,HomeNest
P00050,410,967600.0,87320.0,880280.0,8.373287671232877,PageTurner Elite Technology,Books,PageTurner
P00051,459,2304180.0,186995.0,2117185.0,8.134796238244514,PixelPro Everyday Cameras,Electronics,PixelPro
P00052,455,1428700.0,113040.0,1315660.0,7.826855123674911,GlowPure Ultra Haircare,Beauty & Personal Care,GlowPure
P00053,447,6155190.0,494343.0,5660847.0,7.898305084745763,PixelPro Smart Headphones,Electronics,PixelPro
P00054,458,677840.0,54094.0,623746.0,8.280757097791797,DermaCare Smart Personal Care,Beauty & Personal Care,DermaCare
P00055,454,1598080.0,126016.0,1472064.0,7.80327868852459,DermaCare Essential Skincare,Beauty & Personal Care,DermaCare
P00056,418,1433740.0,112675.5,1321064.5,8.09608540925267,StyleCraft Classic Jeans,Fashion,StyleCraft
P00057,442,1237600.0,99680.0,1137920.0,8.350877192982455,ModeWear Essential Jackets,Fashion,ModeWear
P00058,492,21313440.0,1667820.0,19645620.0,7.714285714285714,PixelPro Pro Cameras,Electronics,PixelPro
P00059,416,9347520.0,731398.5,8616121.5,7.946428571428571,ComfortCraft Pro Kitchen Appliances,Home & Kitchen,ComfortCraft
P00060,474,36213600.0,3082740.0,33130860.0,8.636363636363637,Voltix Advanced Smartphones,Electronics,Voltix
P00061,472,6867600.0,582727.5,6284872.5,8.603174603174603,RunX Essential Outdoor Sports,Sports & Fitness,RunX
P00062,488,7095520.0,600502.0,6495018.0,8.275862068965518,RunX Premium Gym Equipment,Sports & Fitness,RunX
P00063,417,779790.0,55539.0,724251.0,7.080419580419581,PageTurner Essential Academic,Books,PageTurner
P00064,467,7878290.0,621659.5,7256630.5,7.775974025974026,FitCore Ultra Yoga,Sports & Fitness,FitCore
P00065,473,416240.0,30624.0,385616.0,7.610062893081761,LearnPress Advanced Technology,Books,LearnPress
P00066,529,703570.0,55394.5,648175.5,8.12874251497006,LearnPress Modern Non-Fiction,Books,LearnPress
P00067,464,9317120.0,843360.0,8473760.0,9.200626959247648,UrbanHome Modern Furniture,Home & Kitchen,UrbanHome
P00068,411,328800.0,25920.0,302880.0,7.981481481481482,LearnPress Elite Non-Fiction,Books,LearnPress
P00069,497,526820.0,46428.0,480392.0,8.211009174311927,ReadMore Classic Self Help,Books,ReadMore
P00070,485,2032150.0,168647.5,1863502.5,8.130841121495328,UrbanThread Smart T-Shirts,Fashion,UrbanThread
P00071,486,2041200.0,157920.0,1883280.0,7.984375,DermaCare Pro Personal Care,Beauty & Personal Care,DermaCare
